Soundex of abckvq : 3  : abusive : abusively : abusiveness
Soundex of ejgybkh : 72  : eggcups : equipage : equipages : equipoise : equips : equivocal : equivocally : equivocalness : equivocate : equivocated : equivocates : equivocating : equivocation : equivocations : equivocator : equivocators : escapees : escapes : escapism : escapist : escapists : esophageal : esophagi : esophagus : especial : especially : espies : espousal : espousals : espouse : espoused : espouses : espousing : expect : expectable : expectancies : expectancy : expectant : expectantly : expectation : expectations : expected : expectedly : expecting : expectorant : expectorants : expectorate : expectorated : expectorates : expectorating : expectoration : expects : expose : exposed : exposes : exposing : exposit : exposited : exposition : expositions : expositor : expositors : expository : expostulate : expostulated : expostulates : expostulating : expostulation : expostulations : exposure : exposures : eyecups
Soundex of eju : 26  : each : ease : easy : echo : ecu : eec : eg : egg : eggs : ego : eigg : eke : es : esau : esc : eschew : ese : esk : essay : esse : ewage : ewes : ex : exe : eyes : eyewash
Metaphone of eju : 2  : edge : edgy
Soundex of ekjfsk : 72  : eggcups : equipage : equipages : equipoise : equips : equivocal : equivocally : equivocalness : equivocate : equivocated : equivocates : equivocating : equivocation : equivocations : equivocator : equivocators : escapees : escapes : escapism : escapist : escapists : esophageal : esophagi : esophagus : especial : especially : espies : espousal : espousals : espouse : espoused : espouses : espousing : expect : expectable : expectancies : expectancy : expectant : expectantly : expectation : expectations : expected : expectedly : expecting : expectorant : expectorants : expectorate : expectorated : expectorates : expectorating : expectoration : expects : expose : exposed : exposes : exposing : exposit : exposited : exposition : expositions : expositor : expositors : expository : expostulate : expostulated : expostulates : expostulating : expostulation : expostulations : exposure : exposures : eyecups
Soundex of ekpk : 72  : eggcups : equipage : equipages : equipoise : equips : equivocal : equivocally : equivocalness : equivocate : equivocated : equivocates : equivocating : equivocation : equivocations : equivocator : equivocators : escapees : escapes : escapism : escapist : escapists : esophageal : esophagi : esophagus : especial : especially : espies : espousal : espousals : espouse : espoused : espouses : espousing : expect : expectable : expectancies : expectancy : expectant : expectantly : expectation : expectations : expected : expectedly : expecting : expectorant : expectorants : expectorate : expectorated : expectorates : expectorating : expectoration : expects : expose : exposed : exposes : exposing : exposit : exposited : exposition : expositions : expositor : expositors : expository : expostulate : expostulated : expostulates : expostulating : expostulation : expostulations : exposure : exposures : eyecups
Soundex of elc : 15  : eels : elegy : elias : elijah : elise : elisha : elk : elks : ellis : ells : else : elsie : elysee : eulogy : eyelash
Metaphone of elc : 1  : elk
Soundex of ele : 7  : eel : el : eli : ell : ella : ely : ewell
Metaphone of ele : 6  : eel : el : eli : ell : ella : ely
Soundex of emjye : 14  : emacs : emcee : ems : emus : enjoy : enmesh : enoch : enough : ens : ensue : eons : eunuch : eyeing : eying
Soundex of emkq : 14  : emacs : emcee : ems : emus : enjoy : enmesh : enoch : enough : ens : ensue : eons : eunuch : eyeing : eying
Soundex of enlkqqj : 24  : emulous : emulsification : emulsified : emulsifier : emulsifiers : emulsifies : emulsify : emulsifying : emulsion : emulsions : enlace : enlaced : enlaces : enlacing : enlighten : enlightened : enlightening : enlightenment : enlightens : enlist : enlisted : enlisting : enlistment : enlists
Soundex of eob : 6  : ebb : ebba : ebbw : epee : eva : eve
Metaphone of eob : 3  : ebb : ebba : ebbw
Soundex of eoewfk : 15  : eaves : ebbs : efface : effigy : effuse : epees : epic : epics : epoch : epos : epoxy : evacuee : eves : evoke : eyepiece
Metaphone of eoewfk : 2  : evacuee : evoke
Soundex of eoq : 26  : each : ease : easy : echo : ecu : eec : eg : egg : eggs : ego : eigg : eke : es : esau : esc : eschew : ese : esk : essay : esse : ewage : ewes : ex : exe : eyes : eyewash
Metaphone of eoq : 7  : ecu : eec : eg : egg : ego : eigg : eke
Soundex of epr : 4  : euphoria : ever : every : eyebrow
Soundex of eqnf : 19  : example : examples : exempla : exemplar : exemplars : exemplary : exempli : exemplification : exemplified : exemplifies : exemplify : exemplifying : exemplum : exempt : exempted : exempting : exemption : exemptions : exempts
Soundex of eqqhdbx : 27  : eastbound : eastbourne : ecotype : ecotypes : ectoplasm : eightfold : equitable : equitableness : equitably : establish : established : establishes : establishing : establishment : establishmentarian : establishmentarians : establishments : estop : estopped : estoppel : estopping : estops : estover : estovers : excitability : excitable : excitably
Soundex of erwuxj : 20  : earache : ears : earwax : earwig : earwigs : eras : erase : erg : ergo : ergs : eric : erica : eros : errs : eurasia : eureka : euros : ewers : eyres : eyries
Soundex of esnr : 7  : eisenhower : exmoor : exonerate : exonerated : exonerates : exonerating : exoneration
Soundex of esy : 26  : each : ease : easy : echo : ecu : eec : eg : egg : eggs : ego : eigg : eke : es : esau : esc : eschew : ese : esk : essay : esse : ewage : ewes : ex : exe : eyes : eyewash
Metaphone of esy : 7  : ease : easy : es : esau : ese : essay : esse
Soundex of etaat : 4  : eddied : edit : edith : etude
Metaphone of etaat : 3  : eddied : edit : etude
Soundex of ewfjmb : 22  : effacement : effacing : efficiencies : efficiency : efficient : efficiently : effusing : effusion : effusions : ephesians : epicene : epicenter : epicenters : epicentre : epicentres : epigenetic : epsom : epson : evasion : evasions : evesham : evoking
Soundex of ewgxnhe : 12  : eczema : eigne : eocene : eosin : equine : eskimo : essen : essoin : eugene : exam : exhume : exxon
Soundex of ewtb : 2  : edify : ethiopia
Soundex of exfzy : 72  : eggcups : equipage : equipages : equipoise : equips : equivocal : equivocally : equivocalness : equivocate : equivocated : equivocates : equivocating : equivocation : equivocations : equivocator : equivocators : escapees : escapes : escapism : escapist : escapists : esophageal : esophagi : esophagus : especial : especially : espies : espousal : espousals : espouse : espoused : espouses : espousing : expect : expectable : expectancies : expectancy : expectant : expectantly : expectation : expectations : expected : expectedly : expecting : expectorant : expectorants : expectorate : expectorated : expectorates : expectorating : expectoration : expects : expose : exposed : exposes : exposing : exposit : exposited : exposition : expositions : expositor : expositors : expository : expostulate : expostulated : expostulates : expostulating : expostulation : expostulations : exposure : exposures : eyecups
Soundex of ezljws : 53  : eagles : easels : eccles : ecclesiastes : ecclesiastic : ecclesiastical : ecclesiastically : ecclesiastics : ecclesiasticum : echolocation : eclectic : eclectically : eclecticism : eclectics : eclogue : eclogues : ecological : ecologically : ecologist : ecologists : ecology : eggshells : equalisation : equalisations : equalise : equalised : equaliser : equalisers : equalises : equalising : equalization : equalizations : equalize : equalized : equalizer : equalizers : equalizes : equalizing : equals : excels : excelsior : exclusion : exclusionary : exclusions : exclusive : exclusively : exclusiveness : exclusives : exclusivity : exhales : exiles : eyeglass : eyeglasses
Soundex of ezurgsj : 42  : egregious : egregiously : egress : egresses : equerries : escargot : escargots : eskers : esquires : eucharist : excrescence : excrescent : excresence : excruciate : excruciated : excruciates : excruciating : excruciatingly : excursion : excursionist : excursionists : excursions : excursive : excursively : excursus : excursuses : exercisable : exercise : exercised : exerciser : exercisers : exercises : exercising : exorcise : exorcised : exorcises : exorcising : exorcism : exorcisms : exorcist : exorcists : eyesores
Soundex of ezy : 26  : each : ease : easy : echo : ecu : eec : eg : egg : eggs : ego : eigg : eke : es : esau : esc : eschew : ese : esk : essay : esse : ewage : ewes : ex : exe : eyes : eyewash
Metaphone of ezy : 7  : ease : easy : es : esau : ese : essay : esse
Soundex of faedozb : 1  : fitzpatrick
Soundex of farxz : 65  : faeroes : fairies : fairs : fairways : farce : fares : faroes : faros : farrago : fears : ferriage : ferric : ferries : ferris : ferrous : fierce : firehouse : fires : firs : forage : forays : force : forego : foresaw : foresee : forge : forgo : foris : fork : forks : fours : foyers : frais : frays : freak : freaks : freaky : frees : freesia : freeways : freeze : fresca : fresco : fresh : fries : frieze : frisca : frisk : frisks : frisky : frizz : frizzy : frock : frocks : frog : frogs : frowzy : froze : frs : furies : furiosi : furious : furrows : furs : furze
Metaphone of farxz : 2  : fracases : fricassees
Soundex of fbcdmo : 45  : faction : factional : factionalism : factions : factum : fasten : fastened : fastener : fasteners : fastening : fastenings : fastens : fasting : fastness : faustian : feasting : feistiness : festinate : festinated : festinates : festinating : festoon : festooned : festooning : festoons : ffestiniog : fiction : fictional : fictionalise : fictionalised : fictionalises : fictionalising : fictionalize : fictionalized : fictionalizes : fictionalizing : fictionally : fictions : fighting : fisting : fixating : fixation : fixations : foisting : fustian
Soundex of fber : 35  : faeroe : fair : faire : fairway : fairy : far : faraway : fare : faro : farrow : fear : ferae : feria : ferro : ferry : fewer : fieri : fiery : fir : fire : for : foray : fore : fori : four : foyer : fray : free : freeway : fro : fry : fur : furrow : furry : fury
Metaphone of fber : 4  : faber : fibber : fiber : fibre
Soundex of fccupug : 1  : fishwives
Soundex of fcncmdh : 24  : facing : facings : fagging : faking : fashions : faxing : fazing : feasance : feigns : fijians : fishiness : fishing : fixing : fixings : fizzing : fogginess : fogging : foxiness : foxing : fucking : fusing : fussiness : fussing : fuzziness
Soundex of fdgfwzv : 1  : fitzpatrick
Soundex of fdwptbt : 3  : footpad : footpath : footpaths
Soundex of feq : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of feq : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of feybmn : 1  : fabian
Soundex of ffhxm : 6  : fashion : feign : fijian : fission : fugam : fusion
Soundex of ffiq : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of ffiq : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of fgoq : 28  : faces : facias : facies : faeces : fakes : fauces : faxes : fazes : feces : fezzes : fiascoes : fiascos : fiches : fishes : fisheyes : fixes : fizzes : focus : fogeys : fogies : fosses : foxes : fuchs : fuchsia : fugues : fuses : fusses : fuzes
Soundex of fialwt : 40  : failed : fallout : fault : faulty : fealty : fellatio : felled : felt : field : filed : filet : filiate : filled : fillet : filth : filthy : flat : flawed : flayed : fled : fleet : fleta : flit : float : flood : flout : flowed : fluid : flute : foaled : foiled : fold : foldaway : foliate : followed : fooled : fouled : fowled : fueled : fuelled
Metaphone of fialwt : 47  : failed : fallout : fault : faulty : fealty : felled : felt : field : filed : filet : filiate : filled : fillet : flat : fled : fleet : fleta : flit : float : flood : flout : fluid : flute : foaled : foiled : fold : foliate : fooled : fouled : fowled : fueled : fuelled : valet : valetta : valid : valletta : valuate : valued : vault : veiled : vild : violate : violet : volt : volta : volute : vult
Soundex of fjhjhlq : 3  : fascicle : fascicles : fasciculation
Soundex of fjyuuc : 28  : faces : facias : facies : faeces : fakes : fauces : faxes : fazes : feces : fezzes : fiascoes : fiascos : fiches : fishes : fisheyes : fixes : fizzes : focus : fogeys : fogies : fosses : foxes : fuchs : fuchsia : fugues : fuses : fusses : fuzes
Soundex of fkk : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of fkk : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of fkvz : 1  : fishwives
Soundex of flj : 74  : fails : fallacy : falls : false : falsi : feels : felix : fellows : fells : filch : files : fillies : fills : flack : flacks : flaco : flag : flags : flak : flake : flaky : flash : flashy : flask : flasks : flaws : flax : flays : fleas : fleck : flecks : fleece : fleecy : flees : flesh : fleshy : flex : flick : flicks : flies : floc : flock : flocks : flocs : floes : flog : flogs : floozy : floss : flossy : flowage : flows : flues : fluke : fluky : flush : flux : flyways : foals : foils : foliage : folic : folios : folk : folks : folksy : folkway : follies : follows : foolish : fools : fouls : fowls : fuels
Metaphone of flj : 3  : fledge : foliage : village
Soundex of flunns : 88  : failing : failings : falling : fallings : feeling : feelingly : feelings : felines : felling : felonies : felonious : feloniously : felons : filing : filings : filling : fillings : filmgoer : filmgoers : filmiest : filmmaker : filmography : films : filmsetting : filmstrip : filmstrips : flames : flanagan : flange : flanged : flanges : flanging : flank : flanked : flanking : flanks : flans : flaying : fleeing : flemish : flimsier : flimsies : flimsiest : flimsily : flimsiness : flimsy : flinch : flinched : flinches : flinching : fling : flinging : flings : flounce : flounced : flounces : flouncing : flowing : fluency : flumes : flummox : flummoxed : flummoxes : flummoxing : flung : flunk : flunked : flunkey : flunkeys : flunkies : flunking : flunks : flunky : flying : flymas : foaling : foiling : following : followings : fooling : fouling : foulness : fowling : fueling : fuelling : fullness : fulness : fylingdale
Metaphone of flunns : 21  : felines : felonies : felonious : felons : flans : flounce : fluency : foulness : fullness : fulness : valance : valence : valiancy : vileness : villainies : villainous : villains : vilnius : violence : violins : volens
Soundex of fmmkw : 37  : faience : famish : famous : fancy : fang : fangs : fannies : fans : faunas : fauns : fawns : femes : femmes : fence : fens : fiance : fiancee : fiancÉ : fiancÉs : finch : fines : finesse : finicky : finish : fink : finks : finnish : finns : fins : foams : fumes : fungi : funk : funks : funky : funnies : funs
Soundex of fpg : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Soundex of fpkydl : 11  : factual : factuality : factually : factualness : festal : fishtail : fishtails : fistula : fistulae : fistulas : fixedly
Soundex of fqacq : 28  : faces : facias : facies : faeces : fakes : fauces : faxes : fazes : feces : fezzes : fiascoes : fiascos : fiches : fishes : fisheyes : fixes : fizzes : focus : fogeys : fogies : fosses : foxes : fuchs : fuchsia : fugues : fuses : fusses : fuzes
Soundex of fqdpiuf : 15  : fastback : fastbacks : festival : festivals : festive : festively : festivities : festivity : fictive : fistful : fistfuls : fixative : fixatives : fugitive : fugitives
Soundex of fqefsqc : 1  : fishwives
Soundex of fqt : 36  : facade : faced : facet : fact : facti : facto : fagged : faggot : fagot : faked : fast : faucet : faust : faxed : fazed : feast : fecit : feisty : festa : fewest : fiesta : fight : fished : fist : fixate : fixed : fizzed : fogged : foist : fought : foxed : fucked : fused : fussed : fusty : fuzzed
Metaphone of fqt : 12  : facade : fact : facti : facto : fagged : faggot : fagot : faked : fogged : fucked : vacate : vacuity
Soundex of fqtlzvh : 11  : factual : factuality : factually : factualness : festal : fishtail : fishtails : fistula : fistulae : fistulas : fixedly
Soundex of frbjw : 13  : fairfax : firebox : fireboxes : firebug : firebugs : forbes : forepaws : frappes : freebies : furbish : furbished : furbishes : furbishing
Metaphone of frbjw : 1  : verbiage
Soundex of frksl : 33  : fiercely : foreclose : foreclosed : forecloses : foreclosing : foreclosure : foreclosures : foresail : foresails : forklift : forklifts : fragile : fragility : frazzle : frazzled : frazzles : frazzling : freckle : freckled : freckles : freckling : freshly : frijol : frijoles : friskily : frizzle : frizzled : frizzles : frizzling : frugal : frugality : frugally : furiously
Soundex of fuatjdd : 21  : fatigued : fattest : fattiest : feedstuff : fetched : feticide : feticides : fidget : fidgeted : fidgeting : fidgets : fidgety : fittest : foeticide : foodstuff : foodstuffs : footstep : footsteps : footstool : footstools : fudged
Soundex of fukqmly : 3  : facsimile : facsimiles : fishmeal
Soundex of fuw : 14  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : fowey : foy : fu : fy
Metaphone of fuw : 23  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : foy : fu : fy : ph : phew : phi : phooey : vi : via : vie : view : vow : vu
Soundex of fvbaz : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Soundex of fvuuoas : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of fvuuoas : 5  : feoffees : fiefs : fifes : fives : vivos
Soundex of fwa : 14  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : fowey : foy : fu : fy
Metaphone of fwa : 1  : fowey
Soundex of fwtm : 5  : fathom : fatima : fatten : fatuum : futon
Metaphone of fwtm : 3  : fatima : fatuum : vadium
Soundex of fww : 14  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : fowey : foy : fu : fy
Metaphone of fww : 23  : fa : fay : fe : fee : few : fey : fi : fie : fo : foe : foy : fu : fy : ph : phew : phi : phooey : vi : via : vie : view : vow : vu
Soundex of fxa : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of fxa : 19  : fags : fakes : faux : fax : figs : fix : focus : fogs : fox : foxy : fucks : fugues : vacs : vacuous : vegas : veggies : vex : vogues : vox
Soundex of fxyoszs : 28  : faces : facias : facies : faeces : fakes : fauces : faxes : fazes : feces : fezzes : fiascoes : fiascos : fiches : fishes : fisheyes : fixes : fizzes : focus : fogeys : fogies : fosses : foxes : fuchs : fuchsia : fugues : fuses : fusses : fuzes
Soundex of fxzu : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of fxzu : 6  : faxes : fixes : focuses : focusses : foxes : vexes
Soundex of fyk : 49  : face : facie : fag : fags : fake : fas : fascia : faso : faux : fax : faze : fees : fez : fiasco : fiche : fig : figgie : figs : fiji : fisc : fiscs : fish : fisheye : fishy : fix : fizz : fizzy : foci : foes : fog : fogey : foggy : fogs : fogy : fosse : fox : foxy : fs : fuck : fucks : fugue : fuji : fuqua : fuse : fuss : fussy : fuze : fuzz : fuzzy
Metaphone of fyk : 17  : fag : fake : fig : figgie : fog : foggy : fuck : fugue : fuqua : vac : vacua : vague : vc : veggie : vic : vicki : vogue
Soundex of fzp : 1  : fishwife
Soundex of gapu : 25  : gab : gabby : gaff : gaffe : gap : gape : gave : gb : gbe : gcb : gebo : geoff : gibe : give : gob : gobi : goff : goof : goofy : gov : guava : guff : guffaw : guppy : gyp
Metaphone of gapu : 19  : cap : cape : coop : cop : cope : coppa : copy : coup : coupe : coypu : cup : gap : gape : guppy : kappa : keep : kepi : kip : quip
Soundex of garblhx : 33  : garble : garbled : garbles : garbling : garfield : garibaldi : gerbil : gerbils : gerfalcon : gerfalcons : graphologist : graphology : grapple : grappled : grapples : grappling : gravel : graveled : graveless : gravelled : gravels : gravely : grovel : groveled : groveling : grovelled : groveller : grovellers : grovelling : grovels : gruffly : gyrfalcon : gyrfalcons
Soundex of gcc : 12  : gay : gc : gce : gcse : gee : geo : gi : go : goo : gooey : goya : guy
Soundex of gchb : 25  : gab : gabby : gaff : gaffe : gap : gape : gave : gb : gbe : gcb : gebo : geoff : gibe : give : gob : gobi : goff : goof : goofy : gov : guava : guff : guffaw : guppy : gyp
Soundex of gdd : 32  : gad : gaiety : gait : gate : gateau : gateway : gatt : gaudy : gayety : geed : geode : get : getaway : ghetto : giddy : git : goad : goat : goatee : god : goethe : good : goodie : goody : got : goth : gouda : gout : gouty : guide : gut : guyed
Metaphone of gdd : 64  : cad : caddie : caddy : cat : catty : cd : coat : coati : cod : coda : code : cooed : coot : cootie : cot : cotta : cud : cued : cut : cute : cwt : gad : gaiety : gait : gate : gateau : gatt : gaudy : goad : goat : goatee : god : good : goodie : goody : got : gouda : gout : gouty : guide : gut : kate : katie : kid : kiddie : kit : kite : kitty : kowtow : qed : qt : quad : queued : quid : quiet : quieti : quit : quite : quito : quoad : quod : quoit : quota : quote
Soundex of gdrhw : 10  : gaiter : gather : gaudier : giddier : goiter : goitre : goodyear : guitar : guthrie : gutter
Metaphone of gdrhw : 24  : cadere : cadre : catarrh : cater : cattery : cattier : coterie : cotter : cottier : couture : cuter : cutter : gaiter : gaudier : goiter : goitre : guitar : gutter : kidder : qatar : quater : quietare : quieter : quitter
Soundex of ger : 21  : gar : gary : gayer : gear : gerry : giro : goer : gooier : gore : gory : gower : gray : gre : grew : grey : grow : guar : guerre : guru : gyre : gyro
Metaphone of ger : 15  : gear : gerry : giro : gyre : gyro : jar : jarrow : jeer : jerry : jewry : jour : jr : jura : jure : jury
Soundex of gfwr : 10  : gabber : gabbier : gaffer : geoffrey : gibber : giver : gofer : goober : goofier : gopher
Metaphone of gfwr : 15  : cavere : caviar : caviare : coffer : coiffeur : coiffure : cover : gaffer : gofer : goofier : gopher : quaver : quavery : quiver : quivery
Soundex of ggfme : 6  : gabon : gavin : gibbon : giovanni : given : govan
Soundex of ggmkk : 50  : gainage : gains : gainsay : games : gams : gang : gangs : gangue : gangway : gayness : gcmg : geeing : gems : genes : genies : geniis : genius : gens : genus : gimmick : gimmicks : gimmicky : gingko : ginkgo : gins : gnash : gnaws : gneiss : gnocchi : gnus : going : goings : gong : gongs : gooneys : goons : gowns : guanaco : guineas : guinness : gums : gumshoe : gunge : gungy : gunk : gunnies : guns : guying : gymnasia : gyms
Metaphone of ggmkk : 2  : cmg : comic
Soundex of ggmoykm : 15  : gainsaying : gamesmanship : ganging : geomagnetic : geomagnetism : gimmicking : gingham : ginseng : gnashing : gunsmith : gunsmiths : gymkhana : gymkhanas : gymnasium : gymnasiums
Soundex of gheb : 25  : gab : gabby : gaff : gaffe : gap : gape : gave : gb : gbe : gcb : gebo : geoff : gibe : give : gob : gobi : goff : goof : goofy : gov : guava : guff : guffaw : guppy : gyp
Metaphone of gheb : 5  : fib : fob : phobia : phoebe : vibe
Soundex of ghibaot : 12  : gabbed : gaffed : gaped : gapped : gavotte : gibbet : gibed : gift : giveth : goofed : guffawed : gypped
Metaphone of ghibaot : 2  : fibbed : fobbed
Soundex of ghx : 46  : gag : gaga : gage : gags : gaius : gas : gash : gassy : gauche : gauge : gauss : gauze : gauzy : gawk : gawks : gawky : gays : gaza : gaze : gecko : gees : geese : geisha : gesso : gewgaw : gics : gig : gigs : gigue : gis : goes : gogh : gogo : gook : gooks : goose : gosh : gouache : gouge : gucci : guess : guise : gus : gush : gushy : guys
Metaphone of ghx : 19  : fags : fakes : faux : fax : figs : fix : focus : fogs : fox : foxy : fucks : fugues : vacs : vacuous : vegas : veggies : vex : vogues : vox
Soundex of gjofjki : 19  : gabs : gaffes : gaffs : gapes : gaps : gibbous : gibbs : gibes : gipsy : gives : gobs : goofs : gpis : guavas : guffaws : guppies : gyps : gypsy : gyves
Soundex of gjqlk : 38  : gaelic : gaels : galas : galaxy : gales : galicia : galleys : gallic : gallows : galls : galosh : gals : gaols : gels : geology : ghoulish : ghouls : giles : gills : glasgow : glass : glassy : glaze : glees : gloss : glossa : glossae : glossy : glows : glues : goalies : goals : goulash : gulag : gulags : gulch : gullies : gulls
Soundex of gkci : 12  : gay : gc : gce : gcse : gee : geo : gi : go : goo : gooey : goya : guy
Metaphone of gkci : 26  : cacaos : cakes : caucus : coax : cocas : cocks : cocoas : cogs : cokes : cookies : cooks : cox : cuckoos : gags : gawks : gcse : gooks : gucci : kakis : kegs : kicks : kooks : quacks : quakes : quickies : quokkas
Soundex of gkywdzl : 2  : godchild : godchildren
Soundex of glcw : 38  : gaelic : gaels : galas : galaxy : gales : galicia : galleys : gallic : gallows : galls : galosh : gals : gaols : gels : geology : ghoulish : ghouls : giles : gills : glasgow : glass : glassy : glaze : glees : gloss : glossa : glossae : glossy : glows : glues : goalies : goals : goulash : gulag : gulags : gulch : gullies : gulls
Metaphone of glcw : 24  : calico : calque : caulk : clack : claque : click : clique : cliquey : cloak : clock : clog : cloggy : cluck : colic : colicky : colleague : colloquia : colloquy : cowlick : gaelic : gallic : gulag : kellogg : klieg
Soundex of glgf : 7  : gillespie : glassful : glassfuls : glossop : goalkeeper : goalkeepers : guilsborough
Soundex of gnec : 50  : gainage : gains : gainsay : games : gams : gang : gangs : gangue : gangway : gayness : gcmg : geeing : gems : genes : genies : geniis : genius : gens : genus : gimmick : gimmicks : gimmicky : gingko : ginkgo : gins : gnash : gnaws : gneiss : gnocchi : gnus : going : goings : gong : gongs : gooneys : goons : gowns : guanaco : guineas : guinness : gums : gumshoe : gunge : gungy : gunk : gunnies : guns : guying : gymnasia : gyms
Metaphone of gnec : 11  : knack : knock : nag : nco : neck : neg : newquay : nick : nikkei : nook : nuke
Soundex of gnhplzu : 28  : gainful : gainfully : gamble : gambled : gambler : gamblers : gambles : gambling : gambol : gamboled : gamboling : gambolled : gambolling : gambols : genuflect : genuflected : genuflecting : genuflection : genuflects : genuflexion : gimbals : gonfalon : gonfalons : gumboil : gumboils : gunflint : gunflints : gunplay
Metaphone of gnhplzu : 4  : naples : nepalese : nepalis : nipples
Soundex of gnjo : 50  : gainage : gains : gainsay : games : gams : gang : gangs : gangue : gangway : gayness : gcmg : geeing : gems : genes : genies : geniis : genius : gens : genus : gimmick : gimmicks : gimmicky : gingko : ginkgo : gins : gnash : gnaws : gneiss : gnocchi : gnus : going : goings : gong : gongs : gooneys : goons : gowns : guanaco : guineas : guinness : gums : gumshoe : gunge : gungy : gunk : gunnies : guns : guying : gymnasia : gyms
Metaphone of gnjo : 1  : nudge
Soundex of gnzsmom : 15  : gainsaying : gamesmanship : ganging : geomagnetic : geomagnetism : gimmicking : gingham : ginseng : gnashing : gunsmith : gunsmiths : gymkhana : gymkhanas : gymnasium : gymnasiums
Soundex of goibi : 25  : gab : gabby : gaff : gaffe : gap : gape : gave : gb : gbe : gcb : gebo : geoff : gibe : give : gob : gobi : goff : goof : goofy : gov : guava : guff : guffaw : guppy : gyp
Metaphone of goibi : 20  : cab : cabbie : cabby : cb : cbi : cob : cowboy : cub : cuba : cubby : cube : gab : gabby : gb : gbe : gob : gobi : kb : kbe : kobe
Soundex of gqcurrh : 21  : gar : gary : gayer : gear : gerry : giro : goer : gooier : gore : gory : gower : gray : gre : grew : grey : grow : guar : guerre : guru : gyre : gyro
Metaphone of gqcurrh : 1  : cockcrow
Soundex of gqw : 12  : gay : gc : gce : gcse : gee : geo : gi : go : goo : gooey : goya : guy
